Timestamp,Event,Minute,Second,Period
00:00,"Ramos, Angelica at goalie for UC San Diego",00,00,1
00:00,"Williams, Sydney at goalie for Cal Poly Pomona",00,00,1
01:09,"Foul on Pogue, Ambria.",01,09,1
02:22,"Foul on Baddour, Michelle.",02,22,1
03:06,"Foul on Larkin, Allyssa.",03,06,1
04:26,Corner kick [04:26].,04,26,1
06:04,"Foul on Larkin, Allyssa.",06,04,1
08:40,Offside against UC San Diego.,08,40,1
12:34,"Foul on Scott, Taylor.",12,34,1
16:55,"Shot by UCSD Bruno, Sophia, out top right.",16,55,1
19:05,"Shot by CPP Llamas, Jessica, out right.",19,05,1
23:07,"Foul on LaCarra-Platt, Ally.",23,07,1
23:40,"GOAL by UCSD Celeste, Mika.",23,40,1
23:40,"UCSD substitution: Samilo, Maddy for Braun, Erika.",23,40,1
25:21,"UCSD substitution: Killeen, Emily for Oddone, Christina.",25,21,1
28:11,"Foul on LaCarra-Platt, Ally.",28,11,1
28:54,"Shot by UCSD Hoban, Kameryn.",28,54,1
29:28,"UCSD substitution: Kolarik, Ashlynn for Bruno, Sophia.",29,28,1
29:28,"UCSD substitution: Meyer, Katelyn for Hoban, Kameryn.",29,28,1
30:16,"CPP substitution: Paiz, Daniela for Morton, Tori.",30,16,1
31:10,Offside against UC San Diego.,31,10,1
34:06,"UCSD substitution: Bonifazi, Mia for Baddour, Michelle.",34,06,1
34:56,"Foul on Larkin, Allyssa.",34,56,1
36:35,"UCSD substitution: Hottinger, Kate for Celeste, Mika.",36,35,1
36:35,"CPP substitution: Larson, Shayna for LaCarra-Platt, Ally.",36,35,1
36:35,"CPP substitution: Duran, Jazmin for Larkin, Allyssa.",36,35,1
39:54,"Foul on Rasmussen, Taylor.",39,54,1
42:51,"Shot by UCSD Samilo, Maddy.",42,51,1
43:08,"Shot by UCSD Meyer, Katelyn.",43,08,1
45:00,End of period [45:00].,45,00,1
45:00,Start of 2nd period [45:00].,45,00,2
45:00,"FOR CPP: , #1 Williams, Sydney, #2 Pogue, Ambria, #6 Llamas, Jessica, #26 Morton, Tori, #10 Rasmussen, Taylor, #13 Carthan, Alyssa, #14 Faber, Amanda, #5 Larson, Shayna, #25 Larkin, Allyssa, #7 Duran, Jazmin, #23 Paiz, Daniela.",45,00,2
45:00,"FOR UCSD: , #1 Ramos, Angelica, #4 Whittet, Delaney, #10 Baddour, Michelle, #19 Celeste, Mika, #11 Widmer, Natalie, #14 Hoban, Kameryn, #15 Kimball, Kelsey, #16 Saddic, Natalie, #20 Oddone, Christina, #6 Bruno, Sophia, #18 Samilo, Maddy.",45,00,2
45:00,"UCSD substitution: Baddour, Michelle for Kolarik, Ashlynn.",45,00,2
45:00,"UCSD substitution: Celeste, Mika for Bonifazi, Mia.",45,00,2
45:00,"UCSD substitution: Hoban, Kameryn for Meyer, Katelyn.",45,00,2
45:00,"UCSD substitution: Oddone, Christina for Hottinger, Kate.",45,00,2
45:00,"UCSD substitution: Bruno, Sophia for Killeen, Emily.",45,00,2
45:00,"CPP substitution: Morton, Tori for Scott, Taylor.",45,00,2
45:00,"CPP substitution: Larkin, Allyssa for Overstreet, Cassidy.",45,00,2
45:51,"Shot by CPP Carthan, Alyssa, bottom center, saved by Ramos, Angelica.",45,51,2
46:40,"Foul on Larson, Shayna.",46,40,2
47:42,"Shot by UCSD Samilo, Maddy, bottom center, saved by Williams, Sydney.",47,42,2
52:02,Offside against UC San Diego.,52,02,2
54:37,"Shot by CPP Duran, Jazmin, out right.",54,37,2
55:02,Corner kick [55:02].,55,02,2
57:16,Corner kick [57:16].,57,16,2
57:27,"UCSD substitution: Ray, Marissa for Samilo, Maddy.",57,27,2
57:27,"CPP substitution: Duran, Amanda for Pogue, Ambria.",57,27,2
57:53,"Shot by UCSD Oddone, Christina, out top left.",57,53,2
58:34,"Foul on Oddone, Christina.",58,34,2
58:57,"Shot by CPP Larson, Shayna, out top.",58,57,2
61:08,"Foul on Ray, Marissa.",61,08,2
63:06,"Shot by UCSD Oddone, Christina, out top.",63,06,2
64:19,"Foul on Rasmussen, Taylor.",64,19,2
66:30,Corner kick [66:30].,66,30,2
66:49,"CPP substitution: Stein, Katie for Faber, Amanda.",66,49,2
66:51,"Shot by UCSD Hoban, Kameryn.",66,51,2
67:23,"Foul on Larson, Shayna.",67,23,2
69:41,"Foul on Duran, Amanda.",69,41,2
70:46,"Shot by UCSD Celeste, Mika, out left.",70,46,2
71:09,"UCSD substitution: Kolarik, Ashlynn for Oddone, Christina.",71,09,2
71:09,"UCSD substitution: Killeen, Emily for Bruno, Sophia.",71,09,2
71:09,"CPP substitution: Hung, Allison for Carthan, Alyssa.",71,09,2
71:46,"Foul on Hoban, Kameryn.",71,46,2
72:50,"UCSD substitution: Braun, Erika for Baddour, Michelle.",72,50,2
72:50,"CPP substitution: LaCarra-Platt, Ally for Duran, Amanda.",72,50,2
72:50,"CPP substitution: Scott, Taylor for Larkin, Allyssa.",72,50,2
74:06,"Foul on Hoban, Kameryn.",74,06,2
74:38,"Foul on Llamas, Jessica.",74,38,2
74:38,"Yellow card on CPP Llamas, Jessica.",74,38,2
74:48,"Foul on Hoban, Kameryn.",74,48,2
75:14,"Foul on Scott, Taylor.",75,14,2
75:45,"Shot by UCSD Killeen, Emily.",75,45,2
76:22,Corner kick [76:22].,76,22,2
76:42,"Shot by UCSD Saddic, Natalie, out right.",76,42,2
77:01,"UCSD substitution: Hottinger, Kate for Celeste, Mika.",77,01,2
77:01,"UCSD substitution: Baddour, Michelle for Hoban, Kameryn.",77,01,2
77:01,"CPP substitution: Erwin, Jillian for Llamas, Jessica.",77,01,2
81:02,"UCSD substitution: Meyer, Katelyn for Ray, Marissa.",81,02,2
82:56,"CPP substitution: Larkin, Allyssa for Erwin, Jillian.",82,56,2
82:56,"CPP substitution: Llamas, Jessica for Duran, Jazmin.",82,56,2
84:49,"UCSD substitution: Bruno, Sophia for Kolarik, Ashlynn.",84,49,2
85:14,"Foul on Widmer, Natalie.",85,14,2
86:45,"UCSD substitution: Oddone, Christina for Hottinger, Kate.",86,45,2
86:45,"UCSD substitution: Hoban, Kameryn for Killeen, Emily.",86,45,2
86:45,"UCSD substitution: Celeste, Mika for Meyer, Katelyn.",86,45,2
90:00,End of period [90:00].,90,00,2
