Timestamp,Event,Minute,Second,Period
00:00,"Ramos, Angelica at goalie for UC San Diego",00,00,1
00:00,"Talbert, Katelin at goalie for Humboldt St.",00,00,1
00:35,"Shot by UCSD Baddour, Michelle, out right.",00,35,1
02:37,"Foul on Bess, Kelsey.",02,37,1
06:47,"Foul on Swisher, Mary.",06,47,1
09:51,"GOAL by UCSD Hoban, Kameryn Assist by Baddour, Michelle and Samilo, Maddy.",09,51,1
10:13,"Foul on Saddic, Natalie.",10,13,1
15:45,"GOAL by HUMB Osorio, Selena Assist by Bess, Kelsey.",15,45,1
19:58,"Shot by HUMB Osorio, Selena, bottom left, saved by Ramos, Angelica.",19,58,1
20:49,"HUMB substitution: Perez, Valerie for Postma, Sabine.",20,49,1
22:47,"UCSD substitution: Tang, Lucy for Samilo, Maddy.",22,47,1
22:47,"HUMB substitution: Postma, Sabine for Perez, Valerie.",22,47,1
25:27,"UCSD substitution: Killeen, Emily for Bruno, Sophia.",25,27,1
25:27,"UCSD substitution: McCarthy, Caitlin for Hoban, Kameryn.",25,27,1
25:27,"UCSD substitution: Kolarik, Ashlynn for Oddone, Christina.",25,27,1
25:48,"Shot by UCSD Killeen, Emily, right woodwork.",25,48,1
26:59,"Foul on Tang, Lucy.",26,59,1
29:49,"UCSD substitution: Braun, Erika for Widmer, Natalie.",29,49,1
30:34,"HUMB substitution: Siegel, Erin for Osorio, Selena.",30,34,1
31:50,"UCSD substitution: Meyer, Katelyn for Baddour, Michelle.",31,50,1
32:40,"Foul on Tang, Lucy.",32,40,1
33:46,"Shot by UCSD Saddic, Natalie, out top.",33,46,1
34:10,"Foul on Whittet, Delaney.",34,10,1
34:40,"Shot by UCSD Tang, Lucy, top left, saved by Talbert, Katelin.",34,40,1
36:13,Corner kick [36:13].,36,13,1
36:42,"GOAL by UCSD Saddic, Natalie.",36,42,1
36:42,"UCSD substitution: Hottinger, Kate for Celeste, Mika.",36,42,1
37:49,"Shot by UCSD McCarthy, Caitlin, out right.",37,49,1
38:54,"HUMB substitution: Perez, Valerie for Siegel, Erin.",38,54,1
39:48,"Shot by UCSD McCarthy, Caitlin, out right.",39,48,1
44:46,"HUMB substitution: Alves, Kaleigh for Hix, Pikake.",44,46,1
45:00,End of period [45:00].,45,00,1
45:00,"HUMB substitution: Hix, Pikake for Alves, Kaleigh.",45,00,1
45:00,Start of 2nd period [45:00].,45,00,2
45:00,"FOR HUMB: , #1 Talbert, Katelin, #5 Swisher, Mary, #7 Harman, Rose, #8 Bess, Kelsey, #11 Kitteredge, Jacquelyne, #14 Osorio, Selena, #16 Postma, Sabine, #17 Cartledge, Poppy, #22 Hix, Pikake, #25 Stoner, Lindsey, #28 Eri, Tana.",45,00,2
45:00,"FOR UCSD: , #1 Ramos, Angelica, #4 Whittet, Delaney, #14 Hoban, Kameryn, #10 Baddour, Michelle, #24 Braun, Erika, #19 Celeste, Mika, #15 Kimball, Kelsey, #16 Saddic, Natalie, #18 Samilo, Maddy, #6 Bruno, Sophia, #20 Oddone, Christina.",45,00,2
45:00,"UCSD substitution: Hoban, Kameryn for Killeen, Emily.",45,00,2
45:00,"UCSD substitution: Baddour, Michelle for Meyer, Katelyn.",45,00,2
45:00,"UCSD substitution: Celeste, Mika for McCarthy, Caitlin.",45,00,2
45:00,"UCSD substitution: Samilo, Maddy for Tang, Lucy.",45,00,2
45:00,"UCSD substitution: Bruno, Sophia for Hottinger, Kate.",45,00,2
45:00,"UCSD substitution: Oddone, Christina for Kolarik, Ashlynn.",45,00,2
45:00,"HUMB substitution: Osorio, Selena for Perez, Valerie.",45,00,2
47:05,"Shot by UCSD Celeste, Mika, out right.",47,05,2
47:38,"Foul on Osorio, Selena.",47,38,2
51:52,"Foul on Baddour, Michelle.",51,52,2
53:19,"Foul on Hoban, Kameryn.",53,19,2
56:14,"Foul on Whittet, Delaney.",56,14,2
