Timestamp,Event,Minute,Second,Period
00:00,"Ramos, Angelica at goalie for UC San Diego",00,00,1
00:00,"Hinson, Emma at goalie for Point Loma",00,00,1
02:48,"Foul on O'Malley, Lauren.",02,48,1
06:40,"Foul on Herrero, Makenna.",06,40,1
07:39,"Foul on Tang, Lucy.",07,39,1
08:04,"Shot by PLNU Steinhaus, Sarah, bottom center, saved by Ramos, Angelica.",08,04,1
09:56,"Shot by UCSD McCarthy, Caitlin, out right.",09,56,1
10:34,Corner kick [10:34].,10,34,1
12:04,"Foul on Seman, Courtney.",12,04,1
13:04,"Shot by UCSD Saddic, Natalie, out top right.",13,04,1
16:36,"Shot by UCSD Hoban, Kameryn.",16,36,1
17:22,"Shot by UCSD Bruno, Sophia, bottom right, saved by Hinson, Emma.",17,22,1
18:38,"Foul on Herrero, Makenna.",18,38,1
19:33,"PLNU substitution: Carrell, Rachel for Gerarden, Jacqui.",19,33,1
23:57,Offside against UC San Diego.,23,57,1
25:53,"UCSD substitution: Killeen, Emily for Bruno, Sophia.",25,53,1
25:53,"UCSD substitution: Braun, Erika for Tang, Lucy.",25,53,1
25:53,"UCSD substitution: Kolarik, Ashlynn for Baddour, Michelle.",25,53,1
25:53,"PLNU substitution: Osorio, Fernanda for Steinhaus, Sarah.",25,53,1
27:42,"Shot by UCSD McCarthy, Caitlin, bottom left, saved by Hinson, Emma.",27,42,1
28:19,"Foul on Kimball, Kelsey.",28,19,1
28:56,"GOAL by PLNU Bibbey, Chase Assist by Glaser, Julia.",28,56,1
28:56,"UCSD substitution: Oddone, Christina for McCarthy, Caitlin.",28,56,1
30:30,"Foul on Hoban, Kameryn.",30,30,1
31:31,"Shot by UCSD Saddic, Natalie, out left.",31,31,1
32:40,"UCSD substitution: Meyer, Katelyn for Hoban, Kameryn.",32,40,1
32:40,"UCSD substitution: Hottinger, Kate for Celeste, Mika.",32,40,1
32:40,"PLNU substitution: Teagle, Abbey for Watkins, Ashlee.",32,40,1
33:21,"Shot by PLNU Kim, Chloe, bottom center, saved by Ramos, Angelica.",33,21,1
34:14,"PLNU substitution: Odell, Raynee for Kim, Chloe.",34,14,1
35:41,Corner kick [35:41].,35,41,1
36:14,Corner kick [36:14].,36,14,1
36:45,"Shot by UCSD Kimball, Kelsey, bottom right, saved by Hinson, Emma.",36,45,1
38:43,Corner kick [38:43].,38,43,1
41:30,"UCSD substitution: Ray, Marissa for Meyer, Katelyn.",41,30,1
43:18,"Shot by PLNU Seman, Courtney, bottom left, saved by Ramos, Angelica.",43,18,1
45:00,End of period [45:00].,45,00,1
45:00,Start of 2nd period [45:00].,45,00,2
45:00,"FOR PLNU: , #1 Hinson, Emma, #7 Seman, Courtney, #8 Glaser, Julia, #9 O'Malley, Lauren, #14 Odell, Raynee, #12 Herrero, Makenna, #17 Carrell, Rachel, #11 Kim, Chloe, #23 Bibbey, Chase, #24 Swanson, Abbi, #3 Teagle, Abbey.",45,00,2
