Timestamp,Event,Minute,Second,Period
00:00,"Morton, Ashley at goalie for Sonoma St.",00,00,1
00:00,"Ramos, Angelica at goalie for UC San Diego",00,00,1
02:37,"Foul on Kimball, Kelsey.",02,37,1
05:20,"Shot by USD Widmer, Natalie, bottom center, saved by Morton, Ashley.",05,20,1
06:05,"Shot by USD Hoban, Kameryn, bottom right, saved by Morton, Ashley.",06,05,1
07:42,Corner kick [07:42].,07,42,1
08:52,Corner kick [08:52].,08,52,1
09:39,"Shot by SSU Silva, Alyssa, out top.",09,39,1
10:17,"Shot by SSU Watts, Madison, out top.",10,17,1
18:42,"Foul on Kimball, Kelsey.",18,42,1
21:42,"Shot by USD McCarthy, Caitlin, top left, saved by Morton, Ashley.",21,42,1
22:28,"Shot by SSU Espitia, Alexis, top left, saved by Ramos, Angelica.",22,28,1
27:49,"SSU substitution: Wristen, Raina for Murphy, Molly.",27,49,1
27:49,"USD substitution: Killeen, Emily for Bruno, Sophia.",27,49,1
27:49,"USD substitution: Kolarik, Ashlynn for Tang, Lucy.",27,49,1
27:49,"USD substitution: Hottinger, Kate for Hoban, Kameryn.",27,49,1
27:49,"USD substitution: Braun, Erika for McCarthy, Caitlin.",27,49,1
28:57,Corner kick [28:57].,28,57,1
31:50,"USD substitution: Ray, Marissa for Baddour, Michelle.",31,50,1
33:27,Corner kick [33:27].,33,27,1
33:50,"Shot by USD Saddic, Natalie, out left.",33,50,1
37:42,"SSU substitution: Sanchez, Miranda for Lindborg, Sarah.",37,42,1
41:56,"SSU substitution: Ramirez, Amanda for Layman, Sam.",41,56,1
42:01,Corner kick [42:01].,42,01,1
43:54,Corner kick [43:54].,43,54,1
45:00,End of period [45:00].,45,00,1
45:00,Start of 2nd period [45:00].,45,00,2
45:00,"FOR USD: , #1 Ramos, Angelica, #4 Whittet, Delaney, #14 Hoban, Kameryn, #6 Bruno, Sophia, #17 McCarthy, Caitlin, #11 Widmer, Natalie, #7 Tang, Lucy, #15 Kimball, Kelsey, #16 Saddic, Natalie, #10 Baddour, Michelle, #19 Celeste, Mika.",45,00,2
45:00,"FOR SSU: , #1 Morton, Ashley, #2 Silva, Alyssa, #15 Layman, Sam, #7 Watts, Madison, #9 Pritchard, Julia, #10 Keller, Krissy , #6 Lindborg, Sarah, #13 Haiber, Kamryn, #14 West, Riley, #16 Chavez, Victoria, #30 Espitia, Alexis.",45,00,2
45:00,"SSU substitution: Layman, Sam for Sanchez, Miranda.",45,00,2
45:00,"SSU substitution: Lindborg, Sarah for Wristen, Raina.",45,00,2
45:00,"SSU substitution: Chavez, Victoria for Ramirez, Amanda.",45,00,2
45:00,"USD substitution: Hoban, Kameryn for Killeen, Emily.",45,00,2
45:00,"USD substitution: Bruno, Sophia for Kolarik, Ashlynn.",45,00,2
45:00,"USD substitution: McCarthy, Caitlin for Ray, Marissa.",45,00,2
45:00,"USD substitution: Tang, Lucy for Hottinger, Kate.",45,00,2
45:00,"USD substitution: Baddour, Michelle for Braun, Erika.",45,00,2
48:06,"Shot by SSU Espitia, Alexis, out left.",48,06,2
48:50,"Shot by SSU Pritchard, Julia, bottom left, saved by Ramos, Angelica.",48,50,2
51:05,"USD substitution: Killeen, Emily for Baddour, Michelle.",51,05,2
51:35,"Foul on Bruno, Sophia.",51,35,2
55:38,"Foul on Watts, Madison.",55,38,2
56:28,"Foul on Celeste, Mika.",56,28,2
58:00,"Foul on Silva, Alyssa.",58,00,2
58:44,Corner kick [58:44].,58,44,2
59:16,"Shot by SSU Layman, Sam, out top.",59,16,2
60:22,"Shot by SSU Pritchard, Julia, bottom left, saved by Ramos, Angelica.",60,22,2
62:39,"Shot by USD McCarthy, Caitlin, bottom left, saved by Morton, Ashley.",62,39,2
63:37,"SSU substitution: Sanchez, Miranda for Lindborg, Sarah.",63,37,2
63:37,"SSU substitution: Murphy, Molly for Haiber, Kamryn.",63,37,2
63:37,"USD substitution: Kolarik, Ashlynn for McCarthy, Caitlin.",63,37,2
63:37,"USD substitution: Oddone, Christina for Tang, Lucy.",63,37,2
66:06,Corner kick [66:06].,66,06,2
66:13,Corner kick [66:13].,66,13,2
66:23,"Shot by SSU Watts, Madison, top right, saved by Ramos, Angelica.",66,23,2
69:06,Corner kick [69:06].,69,06,2
69:49,"USD substitution: Hottinger, Kate for Hoban, Kameryn.",69,49,2
70:07,Corner kick [70:07].,70,07,2
71:14,"Foul on Killeen, Emily.",71,14,2
72:09,"GOAL by SSU Espitia, Alexis Assist by Murphy, Molly.",72,09,2
78:21,"USD substitution: Hoban, Kameryn for Bruno, Sophia.",78,21,2
78:21,"USD substitution: Braun, Erika for Celeste, Mika.",78,21,2
80:57,"Foul on Braun, Erika.",80,57,2
81:24,"Yellow card on SSU Keller, Krissy .",81,24,2
84:15,"USD substitution: Bruno, Sophia for Braun, Erika.",84,15,2
84:21,"Foul on Widmer, Natalie.",84,21,2
85:07,"USD substitution: Meyer, Katelyn for Kimball, Kelsey.",85,07,2
87:04,"Shot by USD Saddic, Natalie, out top.",87,04,2
88:02,"Yellow card on USD Widmer, Natalie.",88,02,2
88:20,"Foul on Widmer, Natalie.",88,20,2
89:53,"SSU substitution: Lindborg, Sarah for Sanchez, Miranda.",89,53,2
90:00,End of period [90:00].,90,00,2
